,Gender,Married,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,Applicant_log,CoapplicantIncome_log,LoanAmount_log,new_income,loan,EMI,Dependents_1,Dependents_2,Dependents_3,Property_Area_Semiurban,Property_Area_Urban
0,1,0,0,0,5849.0,0.0,146.41216216216216,360.0,1.0,1,8.674196940225903,0.0,4.9932324876279095,0,0,0.40670045045045045,0,0,0,0,1
1,1,1,0,0,4583.0,1508.0,128.0,360.0,1.0,0,8.430327258394575,7.319202458767849,4.859812404361672,0,0,0.35555555555555557,1,0,0,0,0
2,1,1,0,1,3000.0,0.0,66.0,360.0,1.0,1,8.006700845440367,0.0,4.204692619390966,0,0,0.18333333333333332,0,0,0,0,1
3,1,1,1,0,2583.0,2358.0,120.0,360.0,1.0,1,7.857093864902493,7.765993079407675,4.795790545596741,0,0,0.3333333333333333,0,0,0,0,1
4,1,0,0,0,6000.0,0.0,141.0,360.0,1.0,1,8.699681400989514,0.0,4.955827057601261,0,0,0.39166666666666666,0,0,0,0,1
5,1,1,0,1,5417.0,4196.0,164.75,360.0,1.0,1,8.59748202264504,8.34212526333359,5.5909869805108565,0,0,0.7416666666666667,0,1,0,0,1
6,1,1,1,0,2333.0,1516.0,95.0,360.0,1.0,1,7.755338812846501,7.324489979348532,4.564348191467836,0,0,0.2638888888888889,0,0,0,0,1
7,1,1,0,0,3036.0,2504.0,158.0,360.0,1.0,0,8.01862546504575,7.826044013518965,5.0689042022202315,0,0,0.4388888888888889,0,0,1,1,0
8,1,1,0,0,4006.0,1526.0,168.0,360.0,1.0,1,8.295798110636145,7.3310603052186325,5.1298987149230735,0,0,0.4666666666666667,0,1,0,0,1
9,1,1,0,0,12841.0,2297.25,164.75,360.0,1.0,0,9.460476328353995,9.302828391411333,5.857933154483459,0,0,0.9694444444444444,1,0,0,1,0
10,1,1,0,0,3200.0,700.0,70.0,360.0,1.0,1,8.071218539969863,6.55250788703459,4.2626798770413155,0,0,0.19444444444444445,0,1,0,0,1
11,1,1,0,0,2500.0,1840.0,109.0,360.0,1.0,1,7.824445930877619,7.518064181233078,4.700480365792417,0,0,0.30277777777777776,0,1,0,0,1
12,1,1,0,0,3073.0,2297.25,200.0,360.0,1.0,1,8.03073492409854,9.000483164987708,5.303304908059076,0,0,0.5555555555555556,0,1,0,0,1
13,1,0,0,0,1853.0,2840.0,114.0,360.0,1.0,0,7.5251007461258,7.951911381854188,4.74493212836325,0,0,0.31666666666666665,0,0,0,0,0
14,1,1,0,0,1299.0,1086.0,17.0,120.0,1.0,1,7.170119543449628,6.99117688712121,2.8903717578961645,0,0,0.14166666666666666,0,1,0,0,1
15,1,0,0,0,4950.0,0.0,125.0,360.0,1.0,1,8.507344855361422,0.0,4.836281906951478,0,0,0.3472222222222222,0,0,0,0,1
16,1,0,1,0,3596.0,0.0,100.0,240.0,1.0,1,8.187855443695623,0.0,4.61512051684126,0,0,0.4166666666666667,1,0,0,0,1
17,0,0,0,0,3510.0,0.0,76.0,360.0,1.0,0,8.163656176168432,0.0,4.343805421853684,0,0,0.2111111111111111,0,0,0,0,1
18,1,1,1,0,4887.0,0.0,133.0,360.0,1.0,0,8.494538500851432,0.0,4.897839799950911,0,0,0.36944444444444446,0,0,0,0,0
19,1,1,0,0,2600.0,3500.0,115.0,342.0,1.0,1,7.8636512654486515,8.160803920954665,4.7535901911063645,0,0,0.3362573099415205,0,0,0,0,1
20,1,1,1,0,7660.0,0.0,104.0,360.0,1.0,0,8.94389780251682,0.0,4.653960350157523,0,0,0.28888888888888886,0,0,0,0,1
21,1,1,0,0,5955.0,5625.0,164.75,360.0,1.0,1,8.6921543938039,8.635153989049803,5.755742213586912,0,0,0.875,1,0,0,0,1
22,1,1,1,0,2600.0,1911.0,116.0,360.0,1.0,0,7.8636512654486515,7.555905093611346,4.762173934797756,0,0,0.32222222222222224,0,0,0,1,0
23,1,1,1,0,3365.0,1917.0,112.0,360.0,1.0,0,8.121480374750751,7.559038255443384,4.727387818712341,0,0,0.3111111111111111,0,1,0,0,0
24,1,1,0,0,3717.0,2925.0,151.0,360.0,1.0,0,8.220941168281389,7.98139158158007,5.0238805208462765,0,0,0.41944444444444445,1,0,0,1,0
25,1,1,0,1,9560.0,0.0,191.0,360.0,1.0,1,9.165447603085447,0.0,5.2574953720277815,0,0,0.5305555555555556,0,0,0,1,0
26,1,1,0,0,2799.0,2253.0,122.0,360.0,1.0,1,7.937374696163295,7.720461694599722,4.812184355372417,0,0,0.3388888888888889,0,0,0,1,0
27,1,1,1,0,4226.0,1040.0,110.0,360.0,1.0,1,8.34924780056679,6.947937068614969,4.709530201312334,0,0,0.3055555555555556,0,1,0,0,1
28,1,0,1,0,1442.0,0.0,35.0,360.0,1.0,0,7.274479558773871,0.0,3.58351893845611,0,0,0.09722222222222222,0,0,0,0,1
29,0,0,0,0,3750.0,2083.0,120.0,360.0,1.0,1,8.229777750081887,7.642044402873258,4.795790545596741,0,0,0.3333333333333333,0,1,0,1,0
30,1,1,0,0,4166.0,3369.0,201.0,360.0,1.0,0,8.334951631422454,8.122668023346407,5.308267697401205,0,0,0.5583333333333333,1,0,0,0,1
31,1,0,0,0,3167.0,0.0,74.0,360.0,1.0,0,8.060855752934316,0.0,4.31748811353631,0,0,0.20555555555555555,0,0,0,0,1
32,1,0,0,1,4692.0,0.0,106.0,360.0,1.0,0,8.453827315794417,0.0,4.672828834461906,0,0,0.29444444444444445,1,0,0,0,0
33,1,1,0,0,3500.0,1667.0,114.0,360.0,1.0,1,8.160803920954665,7.419380582918692,4.74493212836325,0,0,0.31666666666666665,0,0,0,1,0
34,1,0,0,0,12500.0,3000.0,164.75,360.0,1.0,0,9.433563920090563,8.006700845440367,5.771441123130016,0,0,0.8888888888888888,0,0,1,0,0
